MSC	BSC	CELL	bts	lac	ci	BCCH	BSIC	Cell_name	bts_name	longitude	latitude	dir	height	tilt	ground_height	ant_bw	ant_size	band	tch	载波数
GZS06V	JMSM1B2	JMTMXG3	JMTMXG	9860	20263	34	40	台山麦巷3	台山麦巷3	112.808056	22.423889	300	0	7	0				28	4
GZS06V	JMSM1B2	JMTNKG1	JMTNKG	9860	20271	43	65	台山南坑1	台山南坑1	112.815833	22.2901	60	0	5	0				14	2
GZS06V	JMSM1B2	JMTNKG2	JMTNKG	9860	20272	53	55	台山南坑2	台山南坑2	112.815833	22.2901	160	0	5	0				6	1
GZS06V	JMSM1B2	JMTNKG3	JMTNKG	9860	20273	50	64	台山南坑3	台山南坑3	112.815833	22.2901	310	0	5	0				14	2
GZS06V	JMSM1B2	JMTNKL1	JMTNKL	9860	24001	48	16	台山农科楼1	台山农科楼1	112.81325	22.25014	20	0	8	0				30	4
GZS06V	JMSM1B2	JMTNKL2	JMTNKL	9860	24002	44	31	台山农科楼2	台山农科楼2	112.81325	22.25014	150	0	8	0				42	6
GZS06V	JMSM1B2	JMTNKL3	JMTNKL	9860	24003	40	21	台山农科楼3	台山农科楼3	112.81325	22.25014	290	0	9	0				68	10
GZS06V	JMSM1B2	JMTQHU1	JMTQHU	9860	23291	47	77	台山群厚1	台山群厚1	112.79279	22.31736	40	0	6	0				28	4
GZS06V	JMSM1B2	JMTQHU2	JMTQHU	9860	23292	40	61	台山群厚2	台山群厚2	112.79279	22.31736	160	0	6	0				14	2
GZS06V	JMSM1B2	JMTQHU3	JMTQHU	9860	23293	31	72	台山群厚3	台山群厚3	112.79279	22.31736	270	0	6	0				21	3
